Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.18,-.24,-.08,-.15,-.09,-.20,-.17,-.09,-.14,-.22,-.20,-.17,-.16,***,***,-.11,-.16,-.19
1881,-.19,-.13,.04,.06,.08,-.18,.01,-.03,-.15,-.21,-.17,-.06,-.08,-.09,-.16,.06,-.06,-.18
1882,.17,.14,.05,-.15,-.13,-.21,-.16,-.07,-.14,-.23,-.16,-.35,-.10,-.08,.08,-.08,-.14,-.17
1883,-.28,-.36,-.12,-.18,-.17,-.06,-.07,-.13,-.21,-.11,-.24,-.11,-.17,-.19,-.33,-.15,-.09,-.19
1884,-.12,-.08,-.36,-.39,-.33,-.34,-.30,-.27,-.27,-.24,-.33,-.30,-.28,-.26,-.10,-.36,-.31,-.28
1885,-.58,-.33,-.26,-.41,-.44,-.43,-.33,-.31,-.28,-.23,-.23,-.09,-.33,-.34,-.40,-.37,-.36,-.25
1886,-.43,-.50,-.42,-.28,-.24,-.34,-.17,-.30,-.23,-.27,-.27,-.25,-.31,-.30,-.34,-.31,-.27,-.26
1887,-.71,-.56,-.35,-.34,-.30,-.24,-.25,-.35,-.25,-.35,-.26,-.32,-.36,-.35,-.51,-.33,-.28,-.29
1888,-.33,-.35,-.41,-.19,-.21,-.16,-.10,-.15,-.11,.02,.04,-.03,-.17,-.19,-.34,-.27,-.14,-.02
1889,-.08,.17,.07,.11,.00,-.09,-.07,-.19,-.23,-.24,-.33,-.28,-.10,-.08,.02,.06,-.12,-.27
1890,-.41,-.44,-.39,-.29,-.38,-.24,-.27,-.38,-.36,-.24,-.42,-.30,-.34,-.34,-.38,-.36,-.30,-.34
1891,-.33,-.46,-.17,-.27,-.16,-.20,-.17,-.17,-.15,-.21,-.31,-.04,-.22,-.24,-.36,-.20,-.18,-.22
1892,-.29,-.11,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.13,-.41,-.37,-.27,-.24,-.14,-.32,-.26,-.24
1893,-.80,-.56,-.22,-.26,-.33,-.25,-.13,-.24,-.22,-.18,-.18,-.31,-.31,-.31,-.58,-.27,-.21,-.19
1894,-.51,-.28,-.22,-.44,-.30,-.40,-.23,-.23,-.27,-.22,-.25,-.20,-.30,-.31,-.37,-.32,-.29,-.25
1895,-.40,-.42,-.32,-.21,-.26,-.20,-.16,-.16,-.12,-.10,-.16,-.13,-.22,-.23,-.34,-.27,-.18,-.13
1896,-.21,-.12,-.25,-.29,-.15,-.10,-.02,-.04,-.07,.07,-.03,-.04,-.10,-.11,-.15,-.23,-.05,-.01
1897,-.14,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.13,-.17,-.20,-.10,-.09,-.11,-.05,-.07,-.13
1898,-.01,-.29,-.51,-.30,-.30,-.19,-.22,-.26,-.21,-.34,-.38,-.23,-.27,-.27,-.17,-.37,-.22,-.31
1899,-.16,-.38,-.35,-.20,-.22,-.31,-.15,-.08,-.05,-.03,.13,-.26,-.17,-.17,-.25,-.26,-.18,.02
1900,-.35,-.05,.01,-.08,-.08,-.09,-.13,-.08,-.05,.10,-.06,-.06,-.08,-.09,-.22,-.05,-.10,.00
1901,-.21,-.10,.07,-.02,-.14,-.11,-.14,-.20,-.21,-.28,-.17,-.27,-.15,-.13,-.13,-.03,-.15,-.22
1902,-.17,-.05,-.26,-.27,-.31,-.29,-.27,-.29,-.28,-.27,-.34,-.41,-.27,-.26,-.16,-.28,-.28,-.30
1903,-.23,-.05,-.21,-.40,-.39,-.41,-.34,-.44,-.49,-.47,-.42,-.50,-.36,-.35,-.23,-.33,-.40,-.46
1904,-.62,-.56,-.47,-.49,-.51,-.48,-.50,-.48,-.55,-.38,-.17,-.32,-.46,-.48,-.56,-.49,-.49,-.36
1905,-.34,-.58,-.21,-.33,-.28,-.28,-.26,-.20,-.18,-.24,-.06,-.12,-.25,-.27,-.41,-.27,-.24,-.16
1906,-.27,-.29,-.18,-.04,-.25,-.19,-.22,-.19,-.28,-.19,-.37,-.14,-.22,-.22,-.23,-.16,-.20,-.28
1907,-.42,-.50,-.26,-.36,-.45,-.41,-.34,-.34,-.34,-.22,-.45,-.46,-.38,-.35,-.35,-.36,-.36,-.34
1908,-.43,-.31,-.54,-.43,-.36,-.37,-.34,-.45,-.35,-.43,-.51,-.48,-.42,-.42,-.40,-.45,-.39,-.43
1909,-.71,-.45,-.53,-.58,-.54,-.51,-.44,-.33,-.38,-.39,-.31,-.55,-.48,-.47,-.55,-.55,-.43,-.36
1910,-.41,-.40,-.50,-.42,-.33,-.38,-.33,-.36,-.38,-.40,-.54,-.66,-.43,-.42,-.46,-.41,-.35,-.44
1911,-.61,-.56,-.60,-.53,-.50,-.49,-.40,-.43,-.40,-.26,-.20,-.20,-.43,-.47,-.61,-.54,-.44,-.29
1912,-.24,-.13,-.37,-.17,-.20,-.23,-.42,-.54,-.57,-.57,-.38,-.42,-.35,-.34,-.19,-.25,-.39,-.51
